No.	Quantity	Comment	Designator	Footprint	Value	Manufacturer Part	Manufacturer	Supplier Part	Supplier
1	4	1uF	C1,C2,C5,C6	C0603	1uF	GRM188R61H105KAALD	muRata(村田)	C77386	LCSC
2	1	100nF	C12	C0402	100nF	CL05B104KB54PNC	SAMSUNG(三星)	C307331	LCSC
3	2	22uF	C13,C14	C0805	22uF	CL21A226MAQNNNE	SAMSUNG(三星)	C45783	LCSC
4	2	10uF	C15,C16	C1206	10uF	CL31A106KBHNNNE	SAMSUNG(三星)	C13585	LCSC
5	1	1000uF	C17	CAP-SMD_BD10.0-L10.3-W10.3-FD	1000uF	EEEFT1E102UP	PANASONIC(松下)	C401766	LCSC
6	2	HC-MX3.0-2*6A	CN2,CN3	CONN-TH_12P-P3.00_HC-MX3.0-2X6A		HC-MX3.0-2*6A	HCTL(华灿天禄)	C3294375	LCSC
7	2	HC-MX3.0-2*4A	CN4,CN5	CONN-TH_8P-P3.00_HC-MX3.0-2X4A		HC-MX3.0-2*4A	HCTL(华灿天禄)	C3294373	LCSC
8	1	HC-MX3.0-2*3A	CN7	CONN-TH_6P-P3.00_HC-MX3.0-2X3A		HC-MX3.0-2*3A	HCTL(华灿天禄)	C3294372	LCSC
9	13	SM4007PL	D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D15,D16,D17	SOD-123F_L2.8-W1.8-LS3.7-RD		SM4007PL	MDD(辰达半导体)	C64898	LCSC
10	1	XF-508P-B-B	F2	FUSE-TH_4P-L16.0-W6.7		XF-508P-B-B	XFCN(兴飞)	C19727305	LCSC
11	1	3.3uH	L3	IND-SMD_L4.5-W4.1_SL0420	3.3uH	SL0420-3R3M	台湾陆海	C22463807	LCSC
12	11	MDT30N06L	Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q14,Q16	TO-252-2_L6.6-W5.6-P4.60-LS9.7-BR		MDT30N06L	minos(迈诺斯)	C5240683	LCSC
13	2	BSS138	Q12,Q13	SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR		BSS138	SHIKUES(时科)	C112239	LCSC
14	1	MDT35P10D	Q15	TO-252-2_L6.6-W6.1-P4.57-LS9.9-BR-CW		MDT35P10D	minos(迈诺斯)	C5890267	LCSC
15	19	10kΩ	R1,R2,R3,R4,R5,R6,R7,R8,R18,R23,R25,R27,R28,R29,R30,R37,R39,R53,R54	R1206	10kΩ	1206W4F1002T5E	UNI-ROYAL(厚声)	C17902	LCSC
16	11	150Ω	R9,R10,R11,R12,R13,R14,R15,R16,R17,R38,R55	R1206	150Ω	FRC1206J151 TS	FOJAN(富捷)	C2907432	LCSC
17	1	1kΩ	R19	R1206	1kΩ	FRC1206J102 TS	FOJAN(富捷)	C2907440	LCSC
18	1	2kΩ	R24	R1206	2kΩ	FRC1206J202 TS	FOJAN(富捷)	C2907466	LCSC
19	6	1MΩ	R33,R41,R42,R43,R44,R45	R1206	1MΩ	1206W4F1004T5E	UNI-ROYAL(厚声)	C17927	LCSC
20	1	3kΩ	R40	R1206	3kΩ	1206W4F3001T5E	UNI-ROYAL(厚声)	C18012	LCSC
21	1	56.2kΩ	R50	R0402	56.2kΩ	0402WGF5622TCE	UNI-ROYAL(厚声)	C54968	LCSC
22	1	10kΩ	R51	R0402	10kΩ	0402WGF1002TCE	UNI-ROYAL(厚声)	C25744	LCSC
23	2	ADS1115IDGSR	U4,U5	MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL		ADS1115IDGSR	TI(德州仪器)	C37593	LCSC
24	2	PM2.54-1*15	U7,U8	HDR-TH_15P-P2.54-V-F		PM2.54-1*15	ZHOURI(洲日)	C5371989	LCSC
25	4	GZ2012D152TF	U9,U10,U11,U12	L0805		GZ2012D152TF	Sunlord(顺络)	C96710	LCSC
26	1	TPS563200DDCR	U13	SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR		TPS563200DDCR	TI(德州仪器)	C97253	LCSC
27	1	MMSZ4684	ZD1	SOD-123_L2.8-W1.8-LS3.7-RD		MMSZ4684	CJ(江苏长电/长晶)	C21510	LCSC
