Designator,Footprint,Quantity,Value,LCSC Part #
15,,1,,
7,,1,,
F2,3.6x10mm,1,3A Fuse,
Q4,TO-220-3,1,FQP30N06L,FQP30N06L
13,,1,,
R1,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
3.3 V Regulator,3.3V regulator,1,3.3V_regulator,
12,,1,,
_15,,1,,
9,,1,,
R4,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
R14,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
Bluetooth Module,DSD Tech Bluetooth Module,1,DSD_Tech_Bluetooth_Module,
R8,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
D2,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
SW1,SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x02,
R7,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
_14,,1,,
D5,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
R2,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
Q8,TO-220-3,1,FQP30N06L,FQP30N06L
16,,1,,
_13,,1,,
D6,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
F7,3.6x10mm,1,3A Fuse,
R5,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
6,,1,,
U2,DIY More Buck Converter,1,DIY_More_Buck_Converter,
_12,,1,,
2,,1,,
R16,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
R15,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
_11,,1,,
F3,3.6x10mm,1,3A Fuse,
_10,,1,,
_9,,1,,
R10,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
_8,,1,,
_7,,1,,
8,,1,,
Q7,TO-220-3,1,FQP30N06L,FQP30N06L
SW2,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W7.62mm_P2.54mm_LowProfile,1,SW_DIP_x01,
3,,1,,
F8,3.6x10mm,1,3A Fuse,
10,,1,,
11,,1,,
R11,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
4,,1,,
D3,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
F4,3.6x10mm,1,3A Fuse,
_6,,1,,
F1,3.6x10mm,1,3A Fuse,
D7,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
F5,3.6x10mm,1,3A Fuse,
_5,,1,,
R6,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
D8,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
_4,,1,,
D1,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
R3,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R150,
R13,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
_3,,1,,
Q6,TO-220-3,1,FQP30N06L,FQP30N06L
Q3,TO-220-3,1,FQP30N06L,FQP30N06L
5,,1,,
Q5,TO-220-3,1,FQP30N06L,FQP30N06L
_2,,1,,
R9,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
D4,D_DO-41_SOD81_P7.62mm_Horizontal,1,1N4007,
Q2,TO-220-3,1,FQP30N06L,FQP30N06L
,,1,,
F6,3.6x10mm,1,3A Fuse,
1,,1,,
14,,1,,
R12,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,R10K,
Q1,TO-220-3,1,FQP30N06L,FQP30N06L
